,emotion,pixels
14645,3.0,[215. 219. 222. ... 195. 203. 224.]
14646,5.0,[69. 39.  5. ... 56. 32.  8.]
14647,2.0,[4. 4. 6. ... 4. 2. 3.]
14648,2.0,[247. 248. 234. ... 249. 251. 250.]
14649,4.0,[ 22.  24.  63. ... 229. 228. 246.]
14650,8.0,[ 22.  12.   0. ... 149. 150. 136.]
14651,2.0,[196. 163. 148. ...  94.  68.  55.]
14652,3.0,[16. 18. 17. ... 91. 44. 24.]
14653,4.0,[199. 191. 178. ... 191. 197. 195.]
14654,2.0,[120. 105.  82. ... 183. 119.  57.]
14655,2.0,[32. 18. 17. ... 36. 50. 76.]
14656,1.0,[125. 108. 116. ... 126. 126. 124.]
14657,5.0,[37. 33. 21. ...  9.  8.  4.]
14658,7.0,[231. 231. 231. ... 100.  77.  59.]
14659,4.0,[60. 41.  9. ... 46. 29. 47.]
14660,4.0,[255. 255. 255. ... 208. 140.  91.]
14661,7.0,[226. 242. 232. ... 236. 248. 246.]
14662,4.0,[ 9.  4.  1. ...  3. 30. 13.]
14663,6.0,[ 0.  0.  0. ... 18.  4.  3.]
14664,8.0,[1. 5. 6. ... 0. 6. 6.]
14665,7.0,[ 83.  70. 152. ...  76.  68. 143.]
14666,1.0,[196. 202. 198. ... 171. 140. 120.]
14667,2.0,[180. 157. 125. ... 110. 115. 119.]
14668,5.0,[ 66.  42.  38. ... 255. 203. 169.]
14669,4.0,[222. 170.  97. ...  21.  56.  84.]
14670,2.0,[166. 158.  73. ... 113. 102. 106.]
14671,6.0,[255. 251. 255. ...  37.  34.  41.]
14672,5.0,[42. 30. 18. ... 30. 21. 16.]
14673,7.0,[ 64.  49.  42. ... 246. 230. 231.]
14674,1.0,[ 15.  15.   3. ... 191. 139. 102.]
14675,4.0,[151. 132. 118. ...  37.  35.  23.]
14676,7.0,[126. 126. 126. ... 229. 240. 242.]
14677,6.0,[130.  92.  43. ... 155.  94.  39.]
14678,2.0,[61. 60. 56. ...  7.  7.  5.]
14679,8.0,[23. 24. 26. ... 23. 24. 26.]
14680,6.0,[42. 58. 71. ... 46. 46. 34.]
14681,7.0,[255. 255. 255. ... 255. 255. 255.]
14682,2.0,[209. 249. 251. ...  73.  83.  58.]
14683,8.0,[181. 202. 231. ...  39.  39.  39.]
14684,5.0,[25. 21. 18. ... 62. 64. 76.]
14685,3.0,[59. 75. 90. ... 51. 55. 84.]
14686,1.0,[118. 112.  96. ...  20.  18.  29.]
14687,2.0,[192. 117. 158. ... 178. 184. 140.]
14688,4.0,[114. 126. 208. ...  31.  27.  26.]
14689,7.0,[255. 255. 255. ...  32.  32.  42.]
14690,7.0,[17. 12.  8. ... 12. 12. 12.]
14691,6.0,[  7.   5.   8. ... 189. 135.  63.]
14692,8.0,[60. 10. 11. ... 52. 53. 45.]
14693,2.0,[ 70.  76.  88. ... 217. 218. 213.]
14694,4.0,[116. 102. 102. ... 127.  79.  59.]
14695,8.0,[  9.  33.  17. ... 138. 140. 135.]
14696,3.0,[245. 244. 239. ... 248. 216. 193.]
14697,5.0,[0. 0. 0. ... 0. 0. 0.]
14698,1.0,[ 70.   6.   6. ... 118.  84.  47.]
14699,3.0,[190. 187. 182. ...  28.  26.  27.]
14700,2.0,[ 26.  23.  18. ... 212. 213. 199.]
14701,3.0,[255. 253. 255. ...  50.   0.  51.]
14702,5.0,[74. 55. 59. ... 54. 43. 47.]
14703,6.0,[194. 198. 197. ... 196. 192. 191.]
14704,2.0,[248. 210. 145. ... 188.  44.  35.]
14705,4.0,[130. 105.  83. ... 212.  36.  57.]
14706,6.0,[  3.   0.   7. ... 126.  71.  68.]
14707,3.0,[21. 11. 12. ... 73. 53. 44.]
14708,7.0,[246. 246. 246. ... 252. 238. 237.]
14709,3.0,[183. 206. 198. ... 146.  51.  45.]
14710,2.0,[209. 195. 182. ... 113.  80.  47.]
14711,1.0,[31. 31. 43. ... 29. 38. 47.]
14712,5.0,[215. 180. 148. ...   0.   4.   0.]
14713,5.0,[255. 255. 255. ...  68.  68.  68.]
14714,1.0,[185. 187. 186. ...  90.  88.  93.]
14715,3.0,[37. 47. 36. ...  6. 22. 11.]
14716,5.0,[250. 250. 250. ...   0.   0.   0.]
14717,7.0,[ 80. 118. 121. ... 124. 104.  79.]
14718,6.0,[132. 119.  85. ...  79.  12.  21.]
14719,3.0,[  0.   0.   0. ... 148. 144. 141.]
14720,7.0,[ 13.  21.  84. ... 200. 184. 187.]
14721,5.0,[36. 41. 44. ...  5.  9.  8.]
14722,6.0,[88. 46. 21. ... 40. 86. 76.]
14723,5.0,[ 45.  69.  55. ... 133. 122. 120.]
14724,6.0,[165. 165. 165. ... 199. 199. 199.]
14725,4.0,[17.  1.  4. ... 71.  4. 21.]
14726,2.0,[174.  86.  82. ... 148.  90.  53.]
14727,6.0,[181. 181. 181. ...  17.  17.  17.]
14728,5.0,[12. 11.  9. ...  1.  1.  1.]
14729,7.0,[27. 24. 17. ... 66. 39. 28.]
14730,3.0,[50. 23. 14. ... 10. 10. 10.]
14731,3.0,[69. 56. 39. ... 27. 48. 43.]
14732,6.0,[ 61.  51.  39. ... 197. 201. 202.]
14733,6.0,[112. 121. 120. ...  93.  50.  15.]
14734,7.0,[174. 173. 181. ...  44.  30.  29.]
14735,1.0,[230. 230. 230. ...  22.  22.  22.]
14736,4.0,[55. 44. 42. ... 30. 32. 44.]
14737,3.0,[  4.   4.   4. ... 180. 179. 184.]
14738,3.0,[254. 254. 254. ... 132. 112. 105.]
14739,3.0,[150. 148. 133. ...  33.  37.  40.]
14740,1.0,[201. 203. 202. ... 184. 186. 183.]
14741,5.0,[127.  68.  86. ...  90. 111. 132.]
14742,4.0,[ 0.  1.  5. ... 85. 94. 89.]
14743,7.0,[255. 255. 255. ...  66.  63.  48.]
14744,4.0,[55. 38. 31. ... 13. 17. 20.]
14745,4.0,[0. 0. 0. ... 3. 2. 0.]
14746,3.0,[7. 7. 7. ... 7. 7. 7.]
14747,6.0,[201. 198. 209. ... 119.  91.  77.]
14748,4.0,[230. 229. 235. ... 216. 215. 220.]
14749,7.0,[254. 255. 255. ... 141. 120. 103.]
14750,2.0,[ 57.  56.  10. ... 238. 206. 165.]
14751,3.0,[240. 233. 217. ... 154. 126. 112.]
14752,1.0,[211. 206. 200. ... 185. 181. 178.]
14753,3.0,[193. 193. 185. ... 133. 120. 112.]
14754,5.0,[ 42.  25.   0. ... 149. 117. 106.]
14755,8.0,[246. 241. 238. ... 229. 219. 210.]
14756,1.0,[182. 177. 174. ...  58.  48.  47.]
14757,2.0,[144. 111.  94. ... 184. 151.  38.]
14758,2.0,[115. 125. 174. ...  93.  29.   4.]
14759,8.0,[ 15.  15.  15. ... 242. 242. 242.]
14760,3.0,[249. 224.  95. ... 108.  87.  70.]
14761,3.0,[42. 93. 84. ... 69. 69. 71.]
14762,7.0,[ 86.  75.  55. ... 229. 229. 229.]
14763,5.0,[43. 29. 28. ...  9.  8.  6.]
14764,6.0,[ 41.  35.  47. ... 162. 163. 157.]
14765,1.0,[ 42.  34.  31. ... 124. 117.  99.]
14766,1.0,[148. 132. 106. ... 161. 170. 169.]
14767,7.0,[100.  83.  67. ...  42.  24.  14.]
14768,1.0,[ 55.  12.   0. ... 216. 217. 211.]
14769,4.0,[156. 140. 106. ... 151. 121.  93.]
14770,3.0,[44. 35. 18. ... 27. 15. 19.]
14771,8.0,[ 54.  24.  16. ... 249. 238. 234.]
14772,5.0,[155. 154. 159. ...  10.   9.   5.]
14773,5.0,[191. 186. 157. ...  30.  16.  16.]
14774,5.0,[ 39.  34.  28. ... 178.  55.  40.]
14775,3.0,[44. 37. 31. ...  4.  0.  1.]
14776,3.0,[99. 95. 92. ... 46. 45. 41.]
14777,7.0,[13.  6.  0. ... 31. 30. 28.]
14778,2.0,[216. 216. 216. ...  86.  86.  86.]
14779,7.0,[  0.   0.   0. ... 153. 144. 139.]
14780,7.0,[ 36.  51. 110. ...  64.  58.  70.]
14781,6.0,[36. 27. 18. ...  7.  6.  2.]
14782,3.0,[42. 42. 44. ... 45. 54. 71.]
14783,7.0,[ 5.  5.  3. ... 18. 15.  8.]
14784,7.0,[124. 132. 134. ... 120. 105.  98.]
14785,4.0,[0. 0. 0. ... 2. 2. 2.]
14786,2.0,[89. 15.  2. ... 85. 10.  7.]
14787,2.0,[23. 52. 96. ... 16. 51. 93.]
14788,1.0,[82. 48. 13. ... 34. 36. 33.]
14789,4.0,[35. 20. 13. ... 11. 11.  9.]
14790,4.0,[189. 182. 166. ... 216. 196. 185.]
14791,1.0,[246. 226. 199. ... 150.  96.  50.]
14792,8.0,[169. 148. 143. ...  37.  44.  37.]
14793,1.0,[151. 145. 147. ... 161. 171. 162.]
14794,7.0,[ 42.  45.  76. ... 157. 101.  88.]
14795,3.0,[118. 112.  86. ...  41.  32.  15.]
14796,5.0,[102.  87.  90. ... 151. 168. 196.]
14797,1.0,[137. 185. 199. ...  17.  13.  10.]
14798,6.0,[173. 172. 170. ...  70.  59.  65.]
14799,6.0,[255. 255. 255. ... 171. 171. 171.]
14800,3.0,[255. 255. 255. ... 255. 255. 255.]
14801,5.0,[16. 16. 16. ... 82. 82. 82.]
14802,5.0,[ 1.  1.  0. ... 86. 43.  0.]
14803,4.0,[58. 43. 36. ... 71. 61. 52.]
14804,8.0,[58. 36. 23. ... 74.  8. 10.]
14805,2.0,[244. 236. 225. ...  55.  51.  48.]
14806,6.0,[250. 249. 245. ...  57.  52.  48.]
14807,5.0,[162. 127.  99. ...  71.  45.  56.]
14808,7.0,[88. 88. 88. ...  4.  2.  3.]
14809,2.0,[57. 58. 53. ... 14. 14. 12.]
14810,5.0,[251. 232. 190. ...  27.  18.  13.]
14811,3.0,[91. 87. 75. ... 54. 43. 39.]
14812,4.0,[ 50.  52.  51. ... 100. 100. 102.]
14813,5.0,[137. 126. 106. ...  10.  13.   6.]
14814,5.0,[ 88.  71.  61. ... 105.  95.  96.]
14815,7.0,[ 54.   0.   0. ... 155.  14.  22.]
14816,1.0,[176. 185. 200. ...  10.  10.  12.]
14817,6.0,[254. 254. 254. ... 254. 254. 254.]
14818,2.0,[188. 173.  28. ...  35.  39.  51.]
14819,7.0,[175. 158. 174. ... 184.  83.  71.]
14820,1.0,[  1.  11.   3. ... 107.  91.  65.]
14821,5.0,[165. 114.  51. ... 171. 107.  36.]
14822,2.0,[126. 140. 127. ... 232. 234. 231.]
14823,4.0,[150. 140.  69. ...   5.   7.   4.]
14824,7.0,[ 50.  90. 204. ...  35.  44.  41.]
14825,7.0,[255. 255. 255. ...  17.  20.  29.]
14826,5.0,[ 15.  11.   8. ... 208. 217. 212.]
14827,6.0,[171. 131. 105. ... 253. 200. 210.]
14828,2.0,[49. 52. 61. ... 14. 14. 14.]
14829,8.0,[27. 17.  8. ... 16. 15. 23.]
14830,3.0,[29. 25. 14. ... 48. 48. 46.]
14831,1.0,[37. 56. 54. ... 46. 76. 76.]
14832,2.0,[213. 219. 207. ... 209. 207. 220.]
14833,4.0,[178. 162. 149. ...  39.  56.  72.]
14834,3.0,[ 11.   0.  14. ... 166. 130. 108.]
14835,4.0,[219. 200. 142. ... 158. 144.  79.]
14836,3.0,[125. 155. 155. ...   6.   3.  14.]
14837,6.0,[ 6.  8. 20. ...  6.  6.  6.]
14838,1.0,[255. 176. 149. ... 177. 126. 157.]
14839,3.0,[ 45.  31.  18. ... 125. 121. 118.]
14840,7.0,[243. 243. 243. ... 254. 254. 254.]
14841,3.0,[0. 0. 0. ... 0. 0. 0.]
14842,8.0,[  1.   1.   1. ... 178. 118.  90.]
14843,5.0,[21. 10. 16. ...  3.  1.  2.]
14844,4.0,[ 20.  25.  18. ... 161. 104.  93.]
14845,4.0,[250. 252. 251. ...  93.   2.   7.]
14846,4.0,[255. 255. 255. ...  52.  41.  37.]
14847,5.0,[255. 255. 255. ... 255. 255. 255.]
14848,8.0,[185. 203. 181. ... 194. 211. 192.]
14849,4.0,[ 70.  86. 137. ...  17.  16.  21.]
14850,6.0,[221. 216. 212. ... 240. 206. 194.]
14851,8.0,[ 51.  20.  15. ... 163. 179. 178.]
14852,6.0,[ 11.  13.  12. ... 196. 204. 207.]
14853,2.0,[255. 240. 199. ...  47.  95. 135.]
14854,7.0,[179. 210. 106. ...  24.  31.  39.]
14855,1.0,[254. 254. 254. ...   3.   5.   4.]
14856,1.0,[ 52.  82.  90. ... 137. 168. 171.]
14857,7.0,[103.  83.  74. ... 135. 154. 187.]
14858,3.0,[230. 216. 189. ... 244. 242. 230.]
14859,1.0,[ 72.  83.  75. ... 177. 163. 136.]
14860,3.0,[202. 180. 130. ... 215. 215. 215.]
14861,1.0,[144. 144. 146. ...  47.  34.  43.]
14862,6.0,[156. 136. 164. ...  98.  33. 101.]
14863,5.0,[122.  90.  75. ... 203. 128. 132.]
14864,3.0,[ 22.  17.  13. ... 111. 140. 146.]
14865,7.0,[120. 131. 137. ... 110. 124. 171.]
14866,7.0,[137.  96.  76. ...  86.  62.  26.]
14867,4.0,[228. 124. 203. ... 242.  52. 152.]
14868,5.0,[232. 214. 178. ... 207. 166. 138.]
14869,3.0,[177. 196. 202. ... 217. 225. 228.]
14870,4.0,[189. 189. 189. ... 179. 179. 179.]
14871,4.0,[144. 122. 109. ... 133. 111. 100.]
14872,1.0,[19. 15. 12. ... 65. 43. 32.]
14873,1.0,[ 16.   2.   2. ... 198. 187. 183.]
14874,6.0,[237. 237. 237. ... 240. 238. 239.]
14875,6.0,[151. 209. 223. ... 162. 221. 235.]
14876,1.0,[190. 197. 207. ...  53.  53.  55.]
14877,5.0,[113. 109.  98. ...  35.  43.  82.]
14878,4.0,[34. 13. 20. ... 27.  7. 16.]
14879,8.0,[239. 230. 213. ... 168. 181. 197.]
14880,6.0,[254. 254. 254. ... 149. 103.  80.]
14881,3.0,[185. 186. 180. ... 193. 187. 153.]
14882,4.0,[210. 217. 225. ...  79.  48.  43.]
14883,7.0,[147. 148. 143. ... 138. 138. 138.]
14884,5.0,[15. 15. 15. ... 28. 28. 28.]
14885,6.0,[ 66. 126. 176. ... 246. 237. 220.]
14886,8.0,[  6.   6.   4. ... 123. 126. 157.]
14887,5.0,[164.  86. 170. ...  81.  50.  84.]
14888,3.0,[ 1.  1.  1. ... 64. 60. 57.]
14889,2.0,[109. 204. 252. ... 139.  85.  73.]
14890,1.0,[0. 0. 0. ... 0. 0. 0.]
14891,1.0,[43. 38. 45. ... 41.  7.  0.]
14892,6.0,[126. 131.  91. ... 176. 192. 225.]
14893,3.0,[55. 49. 51. ... 39. 36. 47.]
14894,5.0,[0. 0. 0. ... 0. 0. 0.]
14895,8.0,[149. 128. 133. ...  38.  23.  20.]
14896,2.0,[21. 23. 22. ... 26. 30. 31.]
14897,2.0,[ 85. 126. 132. ... 238. 222. 173.]
14898,5.0,[ 78. 116. 253. ...  49.  65.  91.]
14899,7.0,[206. 209. 214. ... 176. 180. 189.]
14900,1.0,[206. 206. 206. ... 125. 125. 125.]
14901,7.0,[161. 162. 156. ...  20.  20.  22.]
14902,2.0,[170. 166. 163. ... 121. 104.  97.]
14903,2.0,[ 75.  92. 184. ... 176. 114.  77.]
14904,6.0,[255. 255. 255. ... 238. 226. 214.]
14905,5.0,[250. 250. 250. ... 234. 234. 234.]
14906,4.0,[70. 57. 48. ... 31. 27. 24.]
14907,2.0,[32. 32. 32. ...  4.  4.  4.]
14908,5.0,[  0.   0.  18. ... 130.  61.  22.]
14909,1.0,[ 57.  44.  54. ... 234. 121.  55.]
14910,3.0,[159. 155. 170. ...  35.  29.  33.]
14911,6.0,[ 70.  70.  70. ... 142. 142. 142.]
14912,8.0,[252. 252. 252. ...  51.  51.  51.]
14913,3.0,[ 43.  33.  24. ... 165. 136. 106.]
14914,7.0,[226. 232. 232. ... 209. 210. 212.]
14915,7.0,[251. 251. 251. ...   0.   0.   0.]
14916,1.0,[ 79.  85.  99. ... 129. 135. 147.]
14917,3.0,[ 52.  48.  36. ... 151. 161. 173.]
14918,7.0,[206. 221. 226. ... 200. 219. 233.]
14919,3.0,[ 83. 133. 134. ... 170. 124.  88.]
14920,3.0,[144. 116.  94. ... 244. 197. 207.]
14921,2.0,[255. 255. 255. ...  39.  40.  32.]
14922,3.0,[15. 25. 16. ... 36. 34. 22.]
14923,6.0,[178. 190. 228. ...  35.  25.  13.]
14924,2.0,[248. 248. 248. ...   0.   0.   0.]
14925,4.0,[149. 113. 113. ...  65.  32.  53.]
14926,6.0,[220. 189. 169. ... 225. 187. 174.]
14927,5.0,[19. 31. 47. ... 24. 12. 24.]
14928,6.0,[90. 68. 47. ... 22. 18. 17.]
14929,1.0,[229. 236. 244. ... 229. 236. 244.]
14930,4.0,[112. 117. 113. ... 175. 122. 106.]
14931,4.0,[43. 47. 46. ... 53. 49. 50.]
14932,3.0,[211. 212. 216. ...  84.  89.  92.]
14933,7.0,[4. 6. 5. ... 4. 6. 5.]
14934,1.0,[ 35. 196. 251. ...  28. 190. 252.]
14935,5.0,[108.  94.  91. ... 165. 155. 154.]
14936,8.0,[198. 172. 159. ... 139.  88.  71.]
14937,5.0,[ 66.  49.  39. ... 147. 131. 118.]
14938,6.0,[176. 162. 117. ... 114. 103. 133.]
14939,8.0,[194. 194. 194. ... 143. 143. 143.]
14940,3.0,[75. 88. 78. ... 22. 22. 24.]
14941,8.0,[ 21.  18.  13. ... 142.  85.  42.]
14942,2.0,[178. 182. 185. ... 226. 230. 233.]
14943,3.0,[31. 40. 55. ... 90. 64. 47.]
14944,7.0,[175. 214. 245. ... 255. 255. 255.]
14945,2.0,[143. 144. 148. ...  70.  70.  68.]
14946,5.0,[4. 4. 4. ... 4. 4. 4.]
14947,3.0,[  4.  23.  21. ... 176. 184. 169.]
14948,2.0,[ 35.  25.  23. ... 143. 133.  74.]
14949,5.0,[203. 195. 182. ... 165. 133.  86.]
14950,5.0,[65. 55. 80. ...  2.  0. 13.]
14951,3.0,[32. 32. 34. ... 66. 56. 91.]
14952,4.0,[122. 123. 107. ... 106. 112.  98.]
14953,1.0,[174. 182. 167. ... 175. 186. 169.]
14954,4.0,[ 39.  27.  15. ... 191. 123.  24.]
14955,1.0,[ 47.  43.  40. ... 191. 163. 116.]
14956,7.0,[161. 155. 141. ...  94. 112. 114.]
14957,1.0,[ 42.  91.  59. ... 225. 229. 232.]
14958,2.0,[135. 173. 182. ... 166.  93.  74.]
14959,7.0,[163.  76.  66. ... 144.  63.  59.]
14960,2.0,[227. 217. 205. ... 160. 155. 152.]
14961,4.0,[255. 223. 208. ... 163. 155. 168.]
14962,3.0,[179. 180. 166. ...  19.  19.  21.]
14963,8.0,[255. 255. 255. ...  38.  47.  64.]
14964,7.0,[212.  29.  33. ... 183. 167. 167.]
14965,6.0,[ 29.  45.  78. ...  31.  51. 150.]
14966,4.0,[ 99.  82.  74. ... 125. 124. 119.]
14967,3.0,[1. 1. 1. ... 1. 1. 1.]
14968,5.0,[141. 134. 118. ...  12.  15.  20.]
14969,3.0,[160. 162. 161. ... 227. 204. 214.]
14970,7.0,[ 23.  44.   5. ... 184. 184. 182.]
14971,7.0,[ 65.  83. 105. ...  82.  98. 121.]
14972,4.0,[ 86.  88.  87. ... 108.  66. 104.]
14973,1.0,[115.  89.  64. ... 247. 184. 130.]
14974,5.0,[94. 87. 71. ... 63. 72. 43.]
14975,8.0,[107.  66.  34. ... 128. 103. 107.]
14976,5.0,[49. 55. 45. ... 41. 45. 44.]
14977,1.0,[154. 133. 116. ... 110.  93.  83.]
14978,1.0,[253. 253. 253. ... 174. 120.  73.]
14979,7.0,[198. 198. 198. ... 134. 108. 119.]
14980,7.0,[215. 216. 200. ...  18.  19.  11.]
14981,5.0,[ 43.  29.  28. ... 147. 143. 134.]
14982,2.0,[241. 245. 244. ... 204. 178. 129.]
14983,7.0,[ 22.  31.  30. ... 147. 157. 146.]
14984,3.0,[ 94. 113. 130. ...  26.  10.  10.]
14985,1.0,[  6.   0.  12. ... 192. 143. 126.]
14986,2.0,[13. 38. 17. ... 23. 45. 24.]
14987,8.0,[255. 255. 255. ...  46.  33.  27.]
14988,2.0,[206. 218. 208. ... 193. 197. 183.]
14989,1.0,[ 96.  95.  91. ... 199. 189. 241.]
14990,6.0,[144. 151. 157. ...  53.  42.  50.]
14991,5.0,[145. 145. 173. ...  54.  52.  57.]
14992,2.0,[ 55.  52.  45. ... 143. 107.  71.]
14993,2.0,[209. 219. 228. ... 252. 251. 247.]
14994,4.0,[ 57.  72.  65. ... 176. 177. 159.]
14995,2.0,[233. 233. 233. ...   7.   7.   7.]
14996,2.0,[33. 29. 30. ... 48. 39. 32.]
14997,1.0,[ 2. 27. 24. ...  5.  6. 10.]
14998,4.0,[199. 145. 109. ... 175. 140. 102.]
14999,4.0,[146. 141. 119. ...  22.   8.   7.]
15000,7.0,[135. 132. 125. ...  92.  49.  32.]
15001,1.0,[81. 41. 42. ... 95. 55. 45.]
15002,5.0,[16. 12.  9. ... 63. 41. 27.]
15003,3.0,[ 67.  24.  31. ... 183. 144. 127.]
15004,8.0,[ 79.  92. 100. ...  45.  48.  65.]
15005,2.0,[199.  50.  10. ... 201. 206. 209.]
15006,7.0,[ 44. 106.  69. ... 140. 131. 102.]
15007,7.0,[ 5.  9. 10. ... 86. 48. 63.]
15008,3.0,[139. 128. 110. ...   3.   3.   5.]
15009,4.0,[248. 228. 221. ...  94.  81.  88.]
15010,2.0,[252.  96.  55. ...   2.   4.   1.]
15011,7.0,[47. 47. 47. ... 23. 23. 23.]
15012,8.0,[ 58.  52.   4. ... 181.  63. 151.]
15013,3.0,[180. 189. 184. ...   6.   4.   7.]
15014,6.0,[187. 187. 187. ... 225. 225. 225.]
15015,7.0,[255. 255. 255. ... 242. 214. 203.]
15016,5.0,[51. 32. 15. ...  9.  7.  8.]
15017,8.0,[192. 132.  80. ... 255. 255. 255.]
15018,2.0,[32. 32. 30. ... 80. 83. 74.]
15019,4.0,[  9.   9.   9. ... 209. 209. 209.]
15020,4.0,[148. 151. 160. ...  48.  44.  59.]
15021,7.0,[34. 36. 31. ... 35. 36. 30.]
15022,2.0,[184.  18.   6. ... 165. 168. 203.]
15023,4.0,[ 7.  7.  7. ... 39. 29. 20.]
15024,3.0,[0. 2. 1. ... 1. 1. 1.]
15025,4.0,[254. 254. 254. ... 234. 214. 207.]
15026,5.0,[ 0.  0.  0. ... 11. 14. 59.]
15027,1.0,[74. 56. 34. ... 14.  9.  3.]
15028,6.0,[63. 47. 31. ... 61. 30. 12.]
15029,2.0,[167. 167. 167. ... 219. 219. 219.]
15030,5.0,[  0.   0.   0. ... 197. 181. 182.]
15031,3.0,[ 4.  0.  1. ... 73. 70. 53.]
15032,4.0,[183. 106.  98. ... 255. 255. 255.]
15033,1.0,[239. 231. 220. ... 102. 102. 102.]
15034,7.0,[96. 54. 32. ... 18. 30. 26.]
15035,4.0,[166.  78.  32. ...  68.  22.   9.]
15036,3.0,[56. 50. 62. ... 97. 67. 69.]
15037,6.0,[ 66.  63.  46. ... 135. 134. 114.]
15038,7.0,[128. 117.  99. ...   5.  31. 128.]
15039,2.0,[ 39.  35.  34. ... 187. 193. 205.]
15040,3.0,[247. 220. 199. ...  35.  31.  28.]
15041,8.0,[134. 128. 106. ...  16.  12.  13.]
15042,6.0,[ 56.  58.  44. ... 132. 162. 172.]
15043,5.0,[244. 225. 169. ... 114.  53.  34.]
15044,2.0,[108.  93.  62. ...   7.   1.   1.]
15045,2.0,[63. 86. 57. ...  4.  4.  4.]
15046,8.0,[207. 220. 226. ... 136.  85.  68.]
15047,6.0,[214. 212. 236. ... 172. 146. 111.]
15048,5.0,[14.  4.  3. ... 35. 24. 20.]
15049,2.0,[ 78.  96.  84. ... 136.  49.  40.]
15050,2.0,[32. 45. 17. ... 16. 16. 14.]
15051,2.0,[  8.  15.  34. ... 232. 121. 153.]
15052,8.0,[210. 226. 216. ... 162. 162. 162.]
15053,5.0,[10. 10. 20. ... 49. 54. 34.]
15054,8.0,[  3.  28.  85. ... 255. 151. 126.]
15055,3.0,[56. 37. 39. ... 44. 24. 25.]
15056,5.0,[ 87.  88. 108. ... 128. 133. 137.]
15057,1.0,[ 81.  46.  68. ...  68. 102. 103.]
15058,2.0,[166. 137. 107. ... 176. 164. 178.]
15059,4.0,[56. 51. 47. ... 17. 26. 43.]
15060,2.0,[131. 174. 129. ... 232. 229. 162.]
15061,8.0,[100. 100. 100. ... 171. 171. 171.]
15062,2.0,[136.  64.  52. ... 178. 161. 141.]
15063,6.0,[209. 185. 151. ... 233. 167. 145.]
15064,7.0,[255. 255. 242. ...  16.   3.  49.]
15065,5.0,[0. 0. 0. ... 1. 1. 1.]
15066,1.0,[174. 161. 126. ... 214. 191. 183.]
15067,4.0,[138. 168. 179. ... 194. 146. 108.]
15068,7.0,[232. 233. 235. ... 115.  74.  42.]
15069,3.0,[12. 12. 12. ... 12. 12. 12.]
15070,2.0,[15. 16. 11. ... 67. 27. 17.]
15071,1.0,[0. 8. 6. ... 1. 6. 0.]
15072,7.0,[ 9. 13. 25. ... 59. 52. 70.]
15073,8.0,[220. 215. 212. ... 187. 186. 181.]
15074,4.0,[117. 117. 117. ... 184. 184. 184.]
15075,3.0,[40. 36. 37. ... 62. 36. 21.]
15076,7.0,[129. 179. 178. ... 128. 180. 176.]
15077,8.0,[103.  87.  72. ...  53.  57.  56.]
15078,1.0,[  7.   9.  21. ... 105. 104. 110.]
15079,2.0,[144. 129. 108. ... 245. 244. 242.]
15080,7.0,[243. 239. 238. ... 174. 150. 102.]
15081,7.0,[196. 192. 189. ... 183. 179. 178.]
15082,5.0,[112. 131. 146. ... 107. 108. 113.]
15083,2.0,[120. 100.  89. ...  18.  17.  23.]
15084,2.0,[170. 171. 165. ...  60.  60.  62.]
15085,8.0,[122.  86.  60. ...  54.  33.  12.]
15086,1.0,[ 13.  34.  61. ... 254. 255. 237.]
15087,2.0,[62. 52. 53. ... 27. 29. 41.]
15088,2.0,[155. 155. 155. ...  76.  76.  76.]
15089,5.0,[254. 252. 239. ... 252. 248. 236.]
15090,2.0,[215. 229. 255. ... 109.  79.  55.]
15091,3.0,[ 1.  3.  0. ... 73. 54. 21.]
15092,3.0,[168. 183. 188. ... 166. 167. 161.]
15093,6.0,[37. 23. 23. ... 78. 61. 54.]
15094,2.0,[254.  45.  38. ... 246. 228. 204.]
15095,7.0,[213. 213. 213. ...  27.  32.  12.]
15096,6.0,[237. 239. 238. ...  53.  35.  11.]
15097,1.0,[255. 255. 255. ... 136. 119. 109.]
15098,4.0,[240. 240. 230. ... 234. 229. 223.]
15099,3.0,[ 58.  54.  55. ... 193. 192. 190.]
15100,5.0,[251. 251. 251. ... 243. 243. 243.]
15101,6.0,[193. 184. 179. ...  37.  38.  58.]
15102,2.0,[123. 111. 113. ...  81.  72.  63.]
15103,7.0,[ 45.  43.  30. ... 242. 244. 239.]
15104,1.0,[203. 186. 160. ... 111. 101.  99.]
15105,1.0,[145. 154. 137. ... 162. 171. 168.]
15106,8.0,[165. 165. 165. ... 199. 199. 199.]
15107,5.0,[ 98. 104.  90. ...   8.   7.   5.]
15108,7.0,[142. 158. 173. ... 138. 152. 165.]
15109,3.0,[ 0.  0.  0. ... 22.  4.  2.]
15110,5.0,[80. 71. 74. ... 65. 51. 24.]
15111,5.0,[ 22.  21.  19. ... 132.  79.  48.]
15112,3.0,[ 98. 131. 124. ... 121.  78.  61.]
15113,5.0,[190. 194. 193. ...  97.  97. 109.]
15114,1.0,[74. 35. 20. ... 92. 93. 88.]
15115,7.0,[115.  92.  86. ...   3.   4.   9.]
15116,3.0,[16.  8.  5. ... 35. 43. 46.]
15117,8.0,[107.  85.  72. ...   6.   6.   6.]
15118,6.0,[104. 103.  83. ... 241. 232. 227.]
15119,4.0,[177. 174. 169. ...  56.  63.  89.]
